DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,Legs,DURATION,LANDINGS DAY,LANDINGS NIGHT,INSTRUMENT,SIMULATED INSTRUMENT,APPROACHES & TYPE,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,SECOND IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,Fuel (gal)
1996-02-04,PA28-161,N3572M,BED BED,1,1.5,1,,,1.3,3,,,,,1.5,,1.5,,,,
1996-02-10,PA28-151,N44438,BED BED,1,2.5,2,,,2.3,5,,,2.5,,2.5,,,,,,
1996-02-11,PA28-151,N44438,BED BED,1,2,,3,,1.5,4,1,,,,2,,,,,,
1996-02-11,PA28-140,N4872T,BED BED,1,1.1,,,,,,1.1,,,,1.1,,,,,,
1996-02-18,PA28-151,N44438,BED BED,1,1.6,1,,,1.4,3,,,,,1.6,,1.6,,,,
1996-02-23,PA28-151,N44438,BED PWM BED,1,2.5,2,,,2.3,3,,,2.5,,2.5,,2.5,,,,
1996-02-24,PA28-161,N3572M,BED BID BDR BED,1,4.8,2,,0.9,3.7,3,,,4.8,,3.9,,4.8,,,,
1996-03-01,PA28-140,N4872T,BED BED,1,0.5,,,,,,0.5,,,,0.5,,,,,,
1996-03-02,PA28-151,N44438,BED EWB BED,1,1.5,1,,1,0.4,2,,,1.5,,0.5,,1.5,,,,
1996-03-04,PA28-151,N44438,BED BED,1,1.4,,1,,1.2,3,1.4,,,,1.4,,1.4,,,,
1996-03-09,PA28-151,N44438,BED BED,1,2.1,1,,,1.9,4,,,,,2.1,,2.1,,,,
1996-03-10,PA28-161,N3572M,BED EEN BED,1,2.4,2,,,1.8,2,,,2.4,,2.4,,2.4,,,,
1996-03-12,PA28-161,N3572M,BED MHT BED,1,1.8,2,,,1.6,3,,,,,1.8,,1.8,,,,
1996-03-14,PA28-161,N3572M,BED LWM,1,1.6,1,,,1.4,3,,,,,1.6,,,,,,
1996-03-17,PA28-161,N3572M,BED EWB BED,1,1.6,,2,,,,0.6,,1.6,,1.6,,,,,,
1996-03-30,PA28-151,N44438,BED DXR OXC BED,1,4.8,,3,,,,1.9,,4.8,,4.8,,,,,,
1996-04-06,PA28-151,N44438,BED BED,1,1.5,1,,0.6,0.7,4,,,,,1.5,,,,,,
1996-04-19,PA28-161,N3572M,BED PVC BED,1,1.8,1,1,,,,0.9,,1.8,,1.8,,,,,,
1996-04-28,PA28-151,N44438,BED BED,1,1.1,1,,,,,,,,,1.1,,,,,,
1996-05-05,PA28-161,N3572M,BED BED,1,0.9,,3,,,,0.9,,,,0.9,,,,,,
1996-05-14,PA28-151,N44438,BED BED,1,1.7,1,,,1.4,4,,,,,1.7,,,,,,
1996-05-14,PA28-140,N4872T,BED BED,1,1,,,,,,1,,,,1,,,,,,
1996-05-23,PA28-161,N3572M,BED PVC BED,1,1.8,2,,,,,,,1.8,,1.8,,,,,,
1996-06-08,PA28-151,N44438,BED MVY BED,1,2.2,2,,0.7,0.2,1,,,2.2,,2.2,,,,,,
1996-06-09,PA28-151,N44438,BED MHT BED,1,1.6,1,,1.5,,4,,,,,1.6,,,,,,
1996-06-22,PA28-151,N44438,BED MVY,1,1,1,,0.2,,1,,,1,,1,,,,,,
1996-06-23,PA28-151,N44438,MVY BED,1,1.4,2,,,,,,,1.4,,1.4,,,,,,
1996-07-05,PA28-151,N6910J,BED ACK BED,1,2.4,1,1,,,,0.1,,2.4,,2.4,,,,,,
1996-07-07,PA28-151,N44438,BED PVC BED,1,1.5,2,,,,,,,1.5,,1.5,,,,,,
1996-07-24,PA28-151,N44438,BED LCI BED,1,1.9,2,,,1.7,4,,,1.9,,1.9,,,,,,
1996-07-28,PA28-151,N44438,BED BID BED,1,2.1,3,,,,,,,2.1,,2.1,,,,,,
1996-07-31,PA28-151,N44438,BED LWM BED,1,1.2,1,,0.9,,3,,,,,1.2,,,,,,
1996-08-09,PA28-151,N44438,BED MVY BED,1,2.3,2,,0.3,,1,,,2.3,,2.3,,,,,,
1996-08-17,PA28-151,N44438,BED DXR,1,1.4,1,,,,,,,1.4,,1.4,,,,,,
1996-08-18,PA28-151,N44438,DXR BED,1,1.3,1,,0.3,,,,,1.3,,1.3,,,,,,
1996-08-25,PA28-151,N44438,BED BED,1,0.5,,3,,,,0.5,,,,0.5,,,,,,
1996-08-30,PA28-151,N44438,BED AVP,1,2.4,1,,0.1,,1,,,2.4,,2.4,,,,,,
1996-08-30,PA28-151,N44438,AVP LBE,1,1.8,1,,0.3,,,,,1.8,,1.8,,,,,,
1996-08-31,PA28-151,N44438,LBE LBE,1,1,1,,,,,,,,,1,,,,,,
1996-09-02,PA28-151,N44438,LBE AVP,1,1.9,1,,,,,,,1.9,,1.9,,,,,,
1996-09-02,PA28-151,N44438,AVP BED,1,2.5,,1,,,,0.1,,2.5,,2.5,,,,,,
1996-09-20,PA28-151,N40857,BED WST,1,1,1,,,,,,,1,,1,,,,,,
1996-10-03,PA28-151,N40857,OWD BED,1,0.8,1,,,,,,,,,0.8,,,,,,
1996-10-04,PA28-151,N40857,BED LCI BED,1,2,1,1,,,,0.9,,2,,2,,,,,,
1996-10-05,PA28-151,N40857,BED PVC BED,1,1.8,1,1,,,,1,,1.8,,1.8,,,,,,
1996-10-07,PA28-151,N40857,BED RUT BED,1,2.5,1,1,,,,0.3,,2.5,,2.5,,,,,,
1996-10-09,PA28-151,N40857,BED 6B6 BED,1,0.7,4,,,,,,,,,0.7,,,,,,
1996-10-12,PA28-151,N40857,BED EEN AFN BED,1,1.7,2,1,,,,0.5,,1.7,,1.7,,,,,,
1996-10-13,PA28-151,N40857,BED BED,1,0.8,1,,,,,,,,,0.8,,,,,,
1996-10-14,PA28-151,N40857,BED ASH BED,1,1.3,,1,,1.1,3,1.3,,,,1.3,,,,,,
1996-10-15,PA28-151,N40857,BED WST,1,0.9,1,,,,,,,0.9,,0.9,,,,,,
1996-10-17,PA28-151,N40857,WST BED,1,0.8,,1,,,,0.1,,0.8,,0.8,,,,,,
1996-10-18,PA28-151,N40857,BED WST BED,1,1.6,2,,,,,,,1.6,,1.6,,,,,,
1996-10-22,PA28-151,N40857,BED BED,1,0.8,1,,,,,,,,,0.8,,,,,,
1996-10-24,PA28-151,N40857,BED PVC BED,1,1.7,1,1,,,,0.9,,1.7,,1.7,,,,,,
1996-10-25,PA28-151,N40857,BED ASH BED,1,0.8,,2,,,,0.8,,,,0.8,,,,,$1.99,
1996-10-26,PA28-151,N40857,BED LDJ,1,1.9,1,,,,,,,1.9,,1.9,,,,,,
1996-10-26,PA28-151,N40857,LDJ BED,1,1.9,,1,,,,1.9,,1.9,,1.9,,,,,,
1996-10-27,PA28-151,N40857,BED 0B8 BED,1,1.9,,2,,,,1.1,,1.9,,1.9,,,,,,
